issue_id,comment_id,Url,label,Themes,Description,,,,,,,,,,,,,,
HBASE-13725,14553488,https://issues.apache.org/jira/browse/HBASE-13725,1,already exist,,,,,,,,,,,,,,,
HBASE-6329,13406895,https://issues.apache.org/jira/browse/HBASE-6329,1,arious behaviour in versions,,,,,,,,,,,,,,,
HBASE-15077,15092929,https://issues.apache.org/jira/browse/HBASE-15077,1,calculation,,,,,,,,,,,,,,,
HBASE-14106,14630332,https://issues.apache.org/jira/browse/HBASE-14106,1,Cross Scenario,,,,,,,,,,,,,,,
HBASE-18197,16045701,https://issues.apache.org/jira/browse/HBASE-18197,1,Cross Scenario,,,,,,,,,,,,,,,
HBASE-10161,13853990,https://issues.apache.org/jira/browse/HBASE-10161,1,dependencies,,,,,,,,,,,,,,,
HBASE-11991,14137474,https://issues.apache.org/jira/browse/HBASE-11991,1,dependencies,,,,,,,,,,,,,,,
HBASE-6002,13283688,https://issues.apache.org/jira/browse/HBASE-6002,1,dependencies,,,,,,,,,,,,,,,
HBASE-8355,13633286,https://issues.apache.org/jira/browse/HBASE-8355,1,dependencies,,,,,,,,,,,,,,,
HBASE-9531,14080450,https://issues.apache.org/jira/browse/HBASE-9531,1,dependencies,,,,,,,,,,,,,,,
HBASE-9899,15410517,https://issues.apache.org/jira/browse/HBASE-9899,1,Error test,,,,,,,,,,,,,,,
HBASE-17950,15987424,https://issues.apache.org/jira/browse/HBASE-17950,1,Error test,,,,,,,,,,,,,,,
HBASE-16091,15358719,https://issues.apache.org/jira/browse/HBASE-16091,1,Error test,,,,,,,,,,,,,,,
HBASE-15673,15246948,https://issues.apache.org/jira/browse/HBASE-15673,1,Error test,,,,,,,,,,,,,,,
HBASE-18294,16359979,https://issues.apache.org/jira/browse/HBASE-18294,1,Error test,,,,,,,,,,,,,,,
HBASE-7596,13555729,https://issues.apache.org/jira/browse/HBASE-7596,1,Error test,,,,,,,,,,,,,,,
HBASE-4711,13140961,https://issues.apache.org/jira/browse/HBASE-4711,1,Error test,,,,,,,,,,,,,,,
HBASE-16296,15402698,https://issues.apache.org/jira/browse/HBASE-16296,1,external env,,,,,,,,,,,,,,,
HBASE-21052,16608190,https://issues.apache.org/jira/browse/HBASE-21052,1,external env,,,,,,,,,,,,,,,
HBASE-18601,16246208,https://issues.apache.org/jira/browse/HBASE-18601,1,external env,,,,,,,,,,,,,,,
HBASE-14644,15318141,https://issues.apache.org/jira/browse/HBASE-14644,1,external env,,,,,,,,,,,,,,,
HBASE-16352,15407116,https://issues.apache.org/jira/browse/HBASE-16352,1,external env,,,,,,,,,,,,,,,
HBASE-9702,15864338,https://issues.apache.org/jira/browse/HBASE-9702,1,external env,,,,,,,,,,,,,,,
HBASE-17816,15948515,https://issues.apache.org/jira/browse/HBASE-17816,1,external env,,,,,,,,,,,,,,,
HBASE-14087,14645203,https://issues.apache.org/jira/browse/HBASE-14087,1,external env,,,,,,,,,,,,,,,
HBASE-20829,16530819,https://issues.apache.org/jira/browse/HBASE-20829,1,external env,,,,,,,,,,,,,,,
HBASE-18624,16221430,https://issues.apache.org/jira/browse/HBASE-18624,1,external resource,,,,,,,,,,,,,,,
HBASE-21300,16701397,https://issues.apache.org/jira/browse/HBASE-21300,1,in other runs,,,,,,,,,,,,,,,
HBASE-5980,14518344,https://issues.apache.org/jira/browse/HBASE-5980,1,in other runs,,,,,,,,,,,,,,,
HBASE-15219,15145929,https://issues.apache.org/jira/browse/HBASE-15219,1,in other runs,,,,,,,,,,,,,,,
HBASE-19839,16345917,https://issues.apache.org/jira/browse/HBASE-19839,1,in other runs,,,,,,,,,,,,,,,
HBASE-13606,14524294,https://issues.apache.org/jira/browse/HBASE-13606,1,Irrelevant to major changes,,,,,,,,,,,,,,,
HBASE-5933,13396956,https://issues.apache.org/jira/browse/HBASE-5933,1,Irrelevant to major changes,,,,,,,,,,,,,,,
HBASE-295,12540384,https://issues.apache.org/jira/browse/HBASE-295,1,Irrelevant to major changes,,,,,,,,,,,,,,,
HBASE-5973,13272386,https://issues.apache.org/jira/browse/HBASE-5973,1,Irrelevant to major changes,,,,,,,,,,,,,,,
HBASE-13214,14603493,https://issues.apache.org/jira/browse/HBASE-13214,1,Irrelevant to major changes,,,,,,,,,,,,,,,
HBASE-17123,15678282,https://issues.apache.org/jira/browse/HBASE-17123,1,Irrelevant to major changes,,,,,,,,,,,,,,,
HBASE-17689,15885177,https://issues.apache.org/jira/browse/HBASE-17689,1,Irrelevant to major changes,,,,,,,,,,,,,,,
HBASE-6583,13475203,https://issues.apache.org/jira/browse/HBASE-6583,1,Irrelevant to major changes,,,,,,,,,,,,,,,
HBASE-18431,16108301,https://issues.apache.org/jira/browse/HBASE-18431,1,Irrelevant to major changes,,,,,,,,,,,,,,,
HBASE-21373,16661584,https://issues.apache.org/jira/browse/HBASE-21373,1,Irrelevant to major changes,,,,,,,,,,,,,,,
HBASE-372,12560720,https://issues.apache.org/jira/browse/HBASE-372,1,Irrelevant to major changes,,,,,,,,,,,,,,,
HBASE-7438,13539703,https://issues.apache.org/jira/browse/HBASE-7438,1,Irrelevant to major changes,,,,,,,,,,,,,,,
HBASE-327,12545713,https://issues.apache.org/jira/browse/HBASE-327,1,javadoc,,,,,,,,,,,,,,,
HBASE-12277,14180922,https://issues.apache.org/jira/browse/HBASE-12277,1,javadoc,,,,,,,,,,,,,,,
HBASE-15665,15247578,https://issues.apache.org/jira/browse/HBASE-15665,1,javadoc,,,,,,,,,,,,,,,
HBASE-18232,16215741,https://issues.apache.org/jira/browse/HBASE-18232,1,need rebase,,,,,,,,,,,,,,,
HBASE-15400,15231181,https://issues.apache.org/jira/browse/HBASE-15400,1,non-reproduciable,,,,,,,,,,,,,,,
HBASE-18996,16202848,https://issues.apache.org/jira/browse/HBASE-18996,1,non-reproduciable,,,,,,,,,,,,,,,
HBASE-19900,16354200,https://issues.apache.org/jira/browse/HBASE-19900,1,non-reproduciable,,,,,,,,,,,,,,,
HBASE-20855,16548349,https://issues.apache.org/jira/browse/HBASE-20855,1,non-reproduciable,,,,,,,,,,,,,,,
HBASE-21104,16598272,https://issues.apache.org/jira/browse/HBASE-21104,1,non-reproduciable,,,,,,,,,,,,,,,
HBASE-21266,16645591,https://issues.apache.org/jira/browse/HBASE-21266,1,non-reproduciable,,,,,,,,,,,,,,,
HBASE-21505,16773258,https://issues.apache.org/jira/browse/HBASE-21505,1,non-reproduciable,,,,,,,,,,,,,,,
HBASE-358,12517846,https://issues.apache.org/jira/browse/HBASE-358,1,non-reproduciable,,,,,,,,,,,,,,,
HBASE-7571,13560327,https://issues.apache.org/jira/browse/HBASE-7571,1,non-reproduciable,,,,,,,,,,,,,,,
HBASE-8539,13657279,https://issues.apache.org/jira/browse/HBASE-8539,1,non-reproduciable,,,,,,,,,,,,,,,
HBASE-9612,13785505,https://issues.apache.org/jira/browse/HBASE-9612,1,non-reproduciable,,,,,,,,,,,,,,,
HBASE-5733,13255732,https://issues.apache.org/jira/browse/HBASE-5733,1,non-reproduciable,,,,,,,,,,,,,,,
HBASE-11409,16323035,https://issues.apache.org/jira/browse/HBASE-11409,1,non-reproduciable,,,,,,,,,,,,,,,
HBASE-11625,15277418,https://issues.apache.org/jira/browse/HBASE-11625,1,non-reproduciable,,,,,,,,,,,,,,,
HBASE-7693,13564333,https://issues.apache.org/jira/browse/HBASE-7693,1,non-reproduciable,,,,,,,,,,,,,,,
HBASE-17872,15960262,https://issues.apache.org/jira/browse/HBASE-17872,1,non-reproduciable,,,,,,,,,,,,,,,
HBASE-15518,15236903,https://issues.apache.org/jira/browse/HBASE-15518,1,non-reproduciable,,,,,,,,,,,,,,,
HBASE-16368,15415024,https://issues.apache.org/jira/browse/HBASE-16368,1,non-reproduciable,,,,,,,,,,,,,,,
HBASE-15306,15158548,https://issues.apache.org/jira/browse/HBASE-15306,1,non-reproduciable,,,,,,,,,,,,,,,
HBASE-21867,16773761,https://issues.apache.org/jira/browse/HBASE-21867,1,non-reproduciable,,,,,,,,,,,,,,,
HBASE-10744,13934506,https://issues.apache.org/jira/browse/HBASE-10744,1,non-reproduciable,,,,,,,,,,,,,,,
HBASE-5992,13273621,https://issues.apache.org/jira/browse/HBASE-5992,1,non-reproduciable,,,,,,,,,,,,,,,
HBASE-7721,13594352,https://issues.apache.org/jira/browse/HBASE-7721,1,non-reproduciable,,,,,,,,,,,,,,,
HBASE-18149,16034154,https://issues.apache.org/jira/browse/HBASE-18149,1,non-reproduciable,,,,,,,,,,,,,,,
HBASE-15583,15980213,https://issues.apache.org/jira/browse/HBASE-15583,1,non-reproduciable,,,,,,,,,,,,,,,
HBASE-19406,16275338,https://issues.apache.org/jira/browse/HBASE-19406,1,non-reproduciable,,,,,,,,,,,,,,,
HBASE-15152,15111711,https://issues.apache.org/jira/browse/HBASE-15152,1,non-reproduciable,,,,,,,,,,,,,,,
HBASE-6178,13454524,https://issues.apache.org/jira/browse/HBASE-6178,1,non-reproduciable,,,,,,,,,,,,,,,
HBASE-16267,15412618,https://issues.apache.org/jira/browse/HBASE-16267,1,non-reproduciable,,,,,,,,,,,,,,,
HBASE-19199,16241976,https://issues.apache.org/jira/browse/HBASE-19199,1,non-reproduciable,,,,,,,,,,,,,,,
HBASE-18747,16200650,https://issues.apache.org/jira/browse/HBASE-18747,1,parrel commits/concurrent commits,,,,,,,,,,,,,,,
HBASE-4798,13153766,https://issues.apache.org/jira/browse/HBASE-4798,1,Partially related,,,,,,,,,,,,,,,
HBASE-5399,13221995,https://issues.apache.org/jira/browse/HBASE-5399,1,Partially related,,,,,,,,,,,,,,,
HBASE-9885,13812913,https://issues.apache.org/jira/browse/HBASE-9885,1,Pre-commit failures,,,,,,,,,,,,,,,
HBASE-16169,15376790,https://issues.apache.org/jira/browse/HBASE-16169,1,Pre-commit failures,,,,,,,,,,,,,,,
HBASE-20928,16554013,https://issues.apache.org/jira/browse/HBASE-20928,1,Pre-commit failures,,,,,,,,,,,,,,,
HBASE-22115,16804537,https://issues.apache.org/jira/browse/HBASE-22115,1,resilient,,,,,,,,,,,,,,,
HBASE-10479,13895406,https://issues.apache.org/jira/browse/HBASE-10479,1,resilient,,,,,,,,,,,,,,,
HBASE-15915,15306377,https://issues.apache.org/jira/browse/HBASE-15915,1,resilient,,,,,,,,,,,,,,,
HBASE-13743,14623223,https://issues.apache.org/jira/browse/HBASE-13743,1,resilient,,,,,,,,,,,,,,,
HBASE-8814,13694599,https://issues.apache.org/jira/browse/HBASE-8814,1,unexpected behaviour,,,,,,,,,,,,,,,
HBASE-15186,15124283,https://issues.apache.org/jira/browse/HBASE-15186,1,unexpected behaviour,,,,,,,,,,,,,,,
HBASE-11166,14000672,https://issues.apache.org/jira/browse/HBASE-11166,1,Unrelated Test Failure,,,,,,,,,,,,,,,
HBASE-21959,16786009,https://issues.apache.org/jira/browse/HBASE-21959,1,Unrelated Testing Classes,,,,,,,,,,,,,,,
HBASE-3271,13440105,https://issues.apache.org/jira/browse/HBASE-3271,1,Unrelated Testing Classes,,,,,,,,,,,,,,,
HBASE-15496,15212707,https://issues.apache.org/jira/browse/HBASE-15496,1,Unrelated Testing Classes,,,,,,,,,,,,,,,
HBASE-9044,13721206,https://issues.apache.org/jira/browse/HBASE-9044,1,Unrelated Testing Classes,,,,,,,,,,,,,,,
HBASE-10881,13958759,https://issues.apache.org/jira/browse/HBASE-10881,1,Unrelated Testing Classes,,,,,,,,,,,,,,,
HBASE-19357,16270574,https://issues.apache.org/jira/browse/HBASE-19357,1,various behaviour in versions,,,,,,,,,,,,,,,
HBASE-7051,13487581,https://issues.apache.org/jira/browse/HBASE-7051,1,various behaviour in versions,,,,,,,,,,,,,,,
HBASE-6173,13291396,https://issues.apache.org/jira/browse/HBASE-6173,1,various behaviours in versions,,,,,,,,,,,,,,,
HBASE-13135,14348446,https://issues.apache.org/jira/browse/HBASE-13135,1,wrong configuration,,,,,,,,,,,,,,,
HBASE-16774,15556340,https://issues.apache.org/jira/browse/HBASE-16774,1,"
flaky","
",,,,,,,,,,,,,,
HBASE-7822,13576295,https://issues.apache.org/jira/browse/HBASE-7822,1,flaky,"
",,,,,,,,,,,,,,