issue_id,comment_id,Url,label,Themes,,,,,,,,,,,,,,
HDFS-11274,15784282,https://issues.apache.org/jira/browse/HDFS-11274,1,non-reproduciable,,,,,,,,,,,,,,
HDFS-11754,16220218,https://issues.apache.org/jira/browse/HDFS-11754,1,non-reproduciable,,,,,,,,,,,,,,
HDFS-12069,16088666,https://issues.apache.org/jira/browse/HDFS-12069,1,non-reproduciable,,,,,,,,,,,,,,
HDFS-12582,16194052,https://issues.apache.org/jira/browse/HDFS-12582,1,non-reproduciable,,,,,,,,,,,,,,
HDFS-12881,16291568,https://issues.apache.org/jira/browse/HDFS-12881,1,non-reproduciable,,,,,,,,,,,,,,
HDFS-1357,12905741,https://issues.apache.org/jira/browse/HDFS-1357,1,non-reproduciable,,,,,,,,,,,,,,
HDFS-2034,13062024,https://issues.apache.org/jira/browse/HDFS-2034,1,non-reproduciable,,,,,,,,,,,,,,
HDFS-3442,13285384,https://issues.apache.org/jira/browse/HDFS-3442,1,non-reproduciable,,,,,,,,,,,,,,
HDFS-6666,14493078,https://issues.apache.org/jira/browse/HDFS-6666,1,non-reproduciable,,,,,,,,,,,,,,
HDFS-6966,14127583,https://issues.apache.org/jira/browse/HDFS-6966,1,non-reproduciable,,,,,,,,,,,,,,
HDFS-8205,14512111,https://issues.apache.org/jira/browse/HDFS-8205,1,non-reproduciable,,,,,,,,,,,,,,
HDFS-8823,14700639,https://issues.apache.org/jira/browse/HDFS-8823,1,non-reproduciable,,,,,,,,,,,,,,
HDFS-9033,14734442,https://issues.apache.org/jira/browse/HDFS-9033,1,non-reproduciable,,,,,,,,,,,,,,
HDFS-9244,15133506,https://issues.apache.org/jira/browse/HDFS-9244,1,non-reproduciable,,,,,,,,,,,,,,
HDFS-9249,14959715,https://issues.apache.org/jira/browse/HDFS-9249,1,non-reproduciable,,,,,,,,,,,,,,
HDFS-9391,15762786,https://issues.apache.org/jira/browse/HDFS-9391,1,non-reproduciable,,,,,,,,,,,,,,
HDFS-10179,15201023,https://issues.apache.org/jira/browse/HDFS-10179,1,Log issues,,,,,,,,,,,,,,
HDFS-11353,15849357,https://issues.apache.org/jira/browse/HDFS-11353,1,parrel commits/concurrent commits,,,,,,,,,,,,,,
HDFS-11984,16107370,https://issues.apache.org/jira/browse/HDFS-11984,1,parrel commits/concurrent commits,,,,,,,,,,,,,,
HDFS-12596,16195597,https://issues.apache.org/jira/browse/HDFS-12596,1,parrel commits/concurrent commits,,,,,,,,,,,,,,
HDFS-13609,16513314,https://issues.apache.org/jira/browse/HDFS-13609,1,parrel commits/concurrent commits,,,,,,,,,,,,,,
HDFS-15041,16992466,https://issues.apache.org/jira/browse/HDFS-15041,1,wrong configuration,,,,,,,,,,,,,,
HDFS-10756,15602521,https://issues.apache.org/jira/browse/HDFS-10756,1,dependencies,,,,,,,,,,,,,,
HDFS-1596,13007230,https://issues.apache.org/jira/browse/HDFS-1596,1,dependencies,,,,,,,,,,,,,,
HDFS-1855,13022876,https://issues.apache.org/jira/browse/HDFS-1855,1,dependencies,,,,,,,,,,,,,,
HDFS-2018,13097117,https://issues.apache.org/jira/browse/HDFS-2018,1,dependencies,,,,,,,,,,,,,,
HDFS-2131,13060691,https://issues.apache.org/jira/browse/HDFS-2131,1,dependencies,,,,,,,,,,,,,,
HDFS-3582,13408554,https://issues.apache.org/jira/browse/HDFS-3582,1,dependencies,,,,,,,,,,,,,,
HDFS-3830,13439165,https://issues.apache.org/jira/browse/HDFS-3830,1,dependencies,,,,,,,,,,,,,,
HDFS-3934,13646828,https://issues.apache.org/jira/browse/HDFS-3934,1,dependencies,,,,,,,,,,,,,,
HDFS-46,13108771,https://issues.apache.org/jira/browse/HDFS-46,1,dependencies,,,,,,,,,,,,,,
HDFS-5809,14014399,https://issues.apache.org/jira/browse/HDFS-5809,1,dependencies,,,,,,,,,,,,,,
HDFS-6047,13920003,https://issues.apache.org/jira/browse/HDFS-6047,1,dependencies,,,,,,,,,,,,,,
HDFS-7090,14167961,https://issues.apache.org/jira/browse/HDFS-7090,1,dependencies,,,,,,,,,,,,,,
HDFS-7404,14215565,https://issues.apache.org/jira/browse/HDFS-7404,1,dependencies,,,,,,,,,,,,,,
HDFS-8220,14653356,https://issues.apache.org/jira/browse/HDFS-8220,1,dependencies,,,,,,,,,,,,,,
HDFS-8399,14543659,https://issues.apache.org/jira/browse/HDFS-8399,1,dependencies,,,,,,,,,,,,,,
HDFS-8581,14729203,https://issues.apache.org/jira/browse/HDFS-8581,1,dependencies,,,,,,,,,,,,,,
HDFS-8687,14605760,https://issues.apache.org/jira/browse/HDFS-8687,1,dependencies,,,,,,,,,,,,,,
HDFS-94,12793781,https://issues.apache.org/jira/browse/HDFS-94,1,dependencies,,,,,,,,,,,,,,
HDFS-10994,15574832,https://issues.apache.org/jira/browse/HDFS-10994,1,address already in use,,,,,,,,,,,,,,
HDFS-14564,16933003,https://issues.apache.org/jira/browse/HDFS-14564,1,external resource,,,,,,,,,,,,,,
HDFS-1835,13021458,https://issues.apache.org/jira/browse/HDFS-1835,1,external resource,,,,,,,,,,,,,,
HDFS-12778,16256452,https://issues.apache.org/jira/browse/HDFS-12778,1,Cross Scenario,,,,,,,,,,,,,,
HDFS-1132,12864584,https://issues.apache.org/jira/browse/HDFS-1132,1,Unrelated Testing Classes,,,,,,,,,,,,,,
HDFS-11998,16058102,https://issues.apache.org/jira/browse/HDFS-11998,1,Unrelated Testing Classes,,,,,,,,,,,,,,
HDFS-1789,13011550,https://issues.apache.org/jira/browse/HDFS-1789,1,Unrelated Testing Classes,,,,,,,,,,,,,,
HDFS-2258,13092167,https://issues.apache.org/jira/browse/HDFS-2258,1,Unrelated Testing Classes,,,,,,,,,,,,,,
HDFS-3616,13482999,https://issues.apache.org/jira/browse/HDFS-3616,1,Unrelated Testing Classes,,,,,,,,,,,,,,
HDFS-4655,13619413,https://issues.apache.org/jira/browse/HDFS-4655,1,Unrelated Testing Classes,,,,,,,,,,,,,,
HDFS-3601,13404005,https://issues.apache.org/jira/browse/HDFS-3601,1,Timeout,,,,,,,,,,,,,,
HDFS-8696,14934314,https://issues.apache.org/jira/browse/HDFS-8696,1,overdated patch,,,,,,,,,,,,,,
HDFS-9525,14981275,https://issues.apache.org/jira/browse/HDFS-9525,1,larger scope,,,,,,,,,,,,,,
HDFS-9780,15143870,https://issues.apache.org/jira/browse/HDFS-9780,1,KDC reject,,,,,,,,,,,,,,
HDFS-9830,15152794,https://issues.apache.org/jira/browse/HDFS-9830,1,Yetus,,,,,,,,,,,,,,
HDFS-9711,15145672,https://issues.apache.org/jira/browse/HDFS-9711,1,JDK version,,,,,,,,,,,,,,
HDFS-9926,15188561,https://issues.apache.org/jira/browse/HDFS-9926,1,external plugin exception,,,,,,,,,,,,,,
HDFS-10720,15408197,https://issues.apache.org/jira/browse/HDFS-10720,1,Partially related,,,,,,,,,,,,,,
HDFS-3733,13444356,https://issues.apache.org/jira/browse/HDFS-3733,1,Partially related,,,,,,,,,,,,,,
HDFS-6879,14110073,https://issues.apache.org/jira/browse/HDFS-6879,1,Partially related,,,,,,,,,,,,,,
HDFS-10710,15401907,https://issues.apache.org/jira/browse/HDFS-10710,1,Intermittent failure,,,,,,,,,,,,,,
HDFS-12323,16156219,https://issues.apache.org/jira/browse/HDFS-12323,1,Irrelevant to major changes,,,,,,,,,,,,,,
HDFS-12486,16174301,https://issues.apache.org/jira/browse/HDFS-12486,1,Irrelevant to major changes,,,,,,,,,,,,,,
HDFS-12985,16312136,https://issues.apache.org/jira/browse/HDFS-12985,1,Irrelevant to major changes,,,,,,,,,,,,,,
HDFS-13951,16636128,https://issues.apache.org/jira/browse/HDFS-13951,1,Irrelevant to major changes,,,,,,,,,,,,,,
HDFS-14144,16719169,https://issues.apache.org/jira/browse/HDFS-14144,1,Irrelevant to major changes,,,,,,,,,,,,,,
HDFS-14955,16973301,https://issues.apache.org/jira/browse/HDFS-14955,1,Error test,,,,,,,,,,,,,,
HDFS-13052,16362820,https://issues.apache.org/jira/browse/HDFS-13052,1,unrelated infra issues,,,,,,,,,,,,,,
HDFS-3082,13228772,https://issues.apache.org/jira/browse/HDFS-3082,1,unrelated infra issues,,,,,,,,,,,,,,
HDFS-8831,15039699,https://issues.apache.org/jira/browse/HDFS-8831,1,unrelated infra issues,,,,,,,,,,,,,,
HDFS-6422,14063682,https://issues.apache.org/jira/browse/HDFS-6422,1,unexpected behavior ,,,,,,,,,,,,,,
HDFS-11957,16081833,https://issues.apache.org/jira/browse/HDFS-11957,1,Pre-commit failures,,,,,,,,,,,,,,
HDFS-8854,14661419,https://issues.apache.org/jira/browse/HDFS-8854,1,unexpected behavior ,,,,,,,,,,,,,,
HDFS-10473,15325780,https://issues.apache.org/jira/browse/HDFS-10473,1,unexpected behavior ,,,,,,,,,,,,,,
HDFS-9388,16076060,https://issues.apache.org/jira/browse/HDFS-9388,1,Irrelevant to major changes,,,,,,,,,,,,,,
HDFS-11303,16046504,https://issues.apache.org/jira/browse/HDFS-11303,1,Irrelevant to major changes,,,,,,,,,,,,,,
HDFS-11793,16006240,https://issues.apache.org/jira/browse/HDFS-11793,1,Irrelevant to major changes,,,,,,,,,,,,,,
HDFS-4595,13600601,https://issues.apache.org/jira/browse/HDFS-4595,1,external env,,,,,,,,,,,,,,
HDFS-941,13018589,https://issues.apache.org/jira/browse/HDFS-941,1,Unrelated Test Failure &  Persistant Failure,,,,,,,,,,,,,,
HDFS-8493,14604383,https://issues.apache.org/jira/browse/HDFS-8493,1,unexpected behavior ,,,,,,,,,,,,,,
HDFS-14314,16781282,https://issues.apache.org/jira/browse/HDFS-14314,1,unexpected behavior ,,,,,,,,,,,,,,
HDFS-458,12728935,https://issues.apache.org/jira/browse/HDFS-458,1,Pre-commit failures,,,,,,,,,,,,,,
HDFS-14858,16939633,https://issues.apache.org/jira/browse/HDFS-14858,1,Irrelevant to major changes,,,,,,,,,,,,,,
HDFS-7254,14179497,https://issues.apache.org/jira/browse/HDFS-7254,1,Irrelevant to major changes,,,,,,,,,,,,,,
HDFS-3844,13441515,https://issues.apache.org/jira/browse/HDFS-3844,1,wrong configuration,,,,,,,,,,,,,,
HDFS-6057,13921966,https://issues.apache.org/jira/browse/HDFS-6057,1,Irrelevant to major changes,,,,,,,,,,,,,,
HDFS-6865,14112100,https://issues.apache.org/jira/browse/HDFS-6865,1,Irrelevant to major changes,,,,,,,,,,,,,,
HDFS-10430,15304525,https://issues.apache.org/jira/browse/HDFS-10430,1,Irrelevant to major changes,,,,,,,,,,,,,,
HDFS-10424,15293410,https://issues.apache.org/jira/browse/HDFS-10424,1,external env,,,,,,,,,,,,,,
HDFS-13776,16614873,https://issues.apache.org/jira/browse/HDFS-13776,1,"javadoc, checkstyle, irrelevant to major changes ",,,,,,,,,,,,,,
HDFS-13970,16719780,https://issues.apache.org/jira/browse/HDFS-13970,1,Irrelevant to major changes,,,,,,,,,,,,,,
HDFS-2649,13167714,https://issues.apache.org/jira/browse/HDFS-2649,1,external env (maven related),,,,,,,,,,,,,,
HDFS-3107,14150020,https://issues.apache.org/jira/browse/HDFS-3107,1,Unrelated Test Failure & Persistant Failure,,,,,,,,,,,,,,
HDFS-12086,16074283,https://issues.apache.org/jira/browse/HDFS-12086,1,"checkstyle, irrelevant to major changes ",,,,,,,,,,,,,,
HDFS-12837,16488624,https://issues.apache.org/jira/browse/HDFS-12837,1,"parrel commits/concurrent commits,Timeout",,,,,,,,,,,,,,
HDFS-2526,13141064,https://issues.apache.org/jira/browse/HDFS-2526,1,Irrelevant to major changes,,,,,,,,,,,,,,
HDFS-13818,16677017,https://issues.apache.org/jira/browse/HDFS-13818,1,Irrelevant to major changes,,,,,,,,,,,,,,
HDFS-3610,13413331,https://issues.apache.org/jira/browse/HDFS-3610,1,Irrelevant to major changes,,,,,,,,,,,,,,
HDFS-9461,15321940,https://issues.apache.org/jira/browse/HDFS-9461,1,Irrelevant to major changes,,,,,,,,,,,,,,
HDFS-10474,15336243,https://issues.apache.org/jira/browse/HDFS-10474,1,Irrelevant to major changes,,,,,,,,,,,,,,