dropout,f1,recall,model,iteration
98,1.0,1.0,PULearning,0
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,1
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,2
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,3
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,4
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,5
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,6
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,7
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,8
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,9
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,10
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,11
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,12
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,13
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,14
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,15
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,16
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,17
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,18
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,19
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,20
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,21
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,22
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,23
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,24
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,25
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,26
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,27
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,28
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,29
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,30
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,31
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,32
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,33
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,34
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,35
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,36
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,37
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,38
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,39
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,40
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,41
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,42
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,43
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,44
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,45
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,46
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,47
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,48
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,49
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,50
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,51
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,52
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,53
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,54
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,55
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,56
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,57
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,58
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,59
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,60
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,61
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,62
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,63
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,64
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,65
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,66
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,67
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,68
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,69
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,70
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,71
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,72
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,73
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,74
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,75
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,76
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,77
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,78
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,79
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,80
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,81
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,82
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,83
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,84
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,85
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,86
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,87
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,88
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,89
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,90
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,91
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,92
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,93
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,94
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,95
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,96
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,97
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,98
98,0.0,0.0,RandomForest,0
98,1.0,1.0,PULearning,99
98,0.0,0.0,RandomForest,0
